,rc_num,rc_name,rc_view,rc_rec,rc_scrap,rc_type,rc_sit,rc_sort,rc_nick,rc_info,rc_ing,rc_diff,rc_time
0,149207,토마토스파게티,12754,2,36,볶음,일상,가공식품류,면/만두,한번 만들어 두면 이모저모 쓸 용도가 많은 토마토소스를 이용한 토마토 스파게티.,[재료] 파스타면 [양념] 토마토 1개| 토마토 페이스트 3T| 양파 1/2개| 다진마늘 1T| 피망 1/2개| 올리브유 3T,초급,30분이내
1,221101,스팸샌드위치,29293,10,98,기타,도시락,밀가루,빵,보통 스팸은 그냥 구워서 밥에만 올려먹잖아요~ 하지만 샌드위치로 만들어 먹으면 더~ 맛있답니다~ 아주~ 간단하지만 폼나는 스팸 샌드위치~ 함께 만들어 보아요~,[재료] 스팸 싱글 1팩| 샌드위치용 식빵2쪽| 토마토 1개| 상추 2쪽| 치즈 1장 [양념] 홀그레인머스터드| 허니머스터드| 다진양파,초급,15분이내
2,333866,호두가래떡구이,8513,4,88,굽기,영양식,콩/견과류,디저트,손님대접에도 좋고 아이들에게도 좋은 호두 가래떡구이입니다.,[재료] 가래떡 1개| 호두 15알 정도 [양념] 깨 3T| 꿀 5T,아무나,15분이내
3,346665,뚝배기라면,36944,14,148,끓이기,야식,가공식품류,면/만두,누구나 쉽게 끓일 수 있는 라면에 제철을 맞은 싱싱한 굴과 김치를 넣어서 맛있는 라면을 끓여보아요.,[재료] 좋아하는 종류의 라면 1봉지| 김치 1/4포기| 굴 5~6개| 파 1개| 청or홍고추 1개 [양념] 고춧가루 약간,아무나,10분이내
4,374689,소고기크림치즈오븐스파게티,7853,0,21,볶음,일상,밀가루,면/만두,김밥속 남은걸로 만든 김치 소고기 크림 치즈오븐 구이 스파게티 ,[재료] 배추김치 50g| 김밥 속에 넣었던 소고기 50g| 체다치즈 1장| 스파게티 국수 1인분| 모짜렐라 치즈 적당량 [양념] 헤비위핑크림 150g,초급,30분이내
5,380934,바나나프렌치토스트,23657,10,15,굽기,간식,밀가루,빵,간단한 아침식사 메뉴로 좋은 바나나 프렌치 토스트,[재료] 브리오슈슬라이스(약간 두툼하게) 2장| 바나나 1/2개| 계란 1개| 우유 1TBSP| 버터 조금| 베이컨 4장| 좋아하는 과일 [양념] 소금 1꼬집| 시럽 적당량| 슈거파우더 적당량,초급,30분이내
6,383305,파스타,14078,3,15,볶음,일상,밀가루,면/만두,입맛 없는 날에 초간단으로 먹을수 있는 타라코 앤젤 헤어 파스타 ,[재료] 앤젤헤어 파스타 1인분| 명란 2개| 마늘 다진것 1큰술| 우메보시 1개 [양념] 참기름 2큰술| 시칠미 적당량,초급,30분이내
7,414203,전자렌지딸기찹쌀떡,9937,8,145,기타,간식,쌀,밥/죽/떡,딸기를 넣은 찹쌀떡 ,[재료] 딸기 10개| 녹말가루 1/2컵| 팥소 200g| 찹쌀가루 100g| 물 180cc| 설탕 50g,초급,30분이내
8,414255,닭고기샌드위치,4445,2,31,굽기,도시락,닭고기,빵,달달한 소스가 듬뿍 닭고기 바비큐 샌드위치,[재료] 닭고기안심살 12매| 베이비채소 30g| 파프리카 조금| 식빵 2장 [식빵 소스] 허브솔트 1/2큰술| 올리브유 2큰술| 머스터드 1/2큰술| 꿀 1큰술| 바베큐소스 5~7큰술 [샐러드 드레싱] 올리브오일 1T| 식초 1T| 꿀 1T| 소금 1/2T| 후추 조금| 오렌지쥬스 2T,초급,30분이내
9,414544,김치볶음밥,17315,18,46,볶음,일상,쌀,밥/죽/떡,입맛이 없을때~ 반찬이 없을때~ 그리고 김치가 맛있게 익었을땐~ 다른 재료 없이 김치랑 밥만 있으면 언제든지 맛나게 해먹을수 있는 김치 볶음밥~~,[재료] 밥 2공기| 김치 1포기| 어묵 3장| 계란 2개| 파슬리 약간 [양념] 설탕 1/2큰술| 굴소스 1큰술| 통깨 약간| 들기름 2.5큰술,초급,30분이내
10,420314,모밀국수,14343,4,107,끓이기,일상,쌀,면/만두,겨울에 딱인 따듯한 모밀국수입니다.,[재료] 다시마| 가다랑이포| 모밀면| 김| 대파| 유부 [양념] 간장| 미림,초급,30분이내
11,507405,간단하지만 영양많은 한끼식사~^^*,10781,16,35,굽기,일상,기타,빵,간단하지만 맛있고 영양많은 한끼식사 입니다 바쁜아침 금방 만들어서 아침식사로 드시거나 아이들간식으로 주셔도 좋을듯 합니다,[재료] 밀가루 40g| 찹쌀가루 10g| 달걀 1개| 소금 조금| 우유 100ml| 달걀| 브로콜리| 식용유 조금| 햄| 버터,아무나,60분이내
12,513745,밥샌드위치,25022,25,83,기타,일상,밀가루,밥/죽/떡,들고다니는 밥~ 밥샌드위치,[재료] 밥 1공기| 빵 4쪽| 김치 약간| 애호박 약간| 새송이버섯 약간| 피망 약간| 식용유 약간| 마요네즈 2큰술| 고추장 0.5큰술 [양념] 소금 약간| 후추 약간,초급,30분이내
13,519510,해물볶음라면,9873,14,78,볶음,일상,해물류,면/만두,출출할 때 해먹으면 최고인 해물볶음라면 레시피를 소개합니다~!,[재료] 라면사리 1개| 새우 2마리| 오징어 1/4마리| 양파 1/2개| 당근 1/5개| 콩나물 1줌| 홍고추 1개| 청고추 1개| 대파 1/4뿌리| 다진마늘 0.5큰술| 다진생강 0.3큰술| 포도씨유 2큰술 [양념] 간장 1.5큰술| 굴소스 1큰술| 고춧가루 0.5큰술| 설탕 1큰술| 참기름 0.5큰술 [비린내제거용] 소금 약간| 후춧가루 약간| 맛술 1큰술,초급,30분이내
