,rc_num,rc_name,rc_view,rc_rec,rc_scrap,rc_type,rc_sit,rc_sort,rc_nick,rc_info,rc_ing,rc_diff,rc_time,rc_src
306,1573002,앳젓소스,76412.0,30.0,3661.0,데치기,일상,채소류,양념/소스/잼,지난주 싸게 구입한 양배추가 냉장고에 있어서 찜 솥에 얹혀서 쪘답니다. 양배추 쌈에 어울리는 액젓 소스를 만들어 볼까요.,[재료] 양배추 [양념] 다진마늘| 고춧가루| 다진청양고추| 깨소금 약간| 멸치액젓| 참기름,아무나,15분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/08/b1f58bf5b38951daee040b4770b67abf_m.jpg
583,1783024,또띠아말이,14881.0,10.0,663.0,기타,간식,밀가루,디저트,급할때 정말 초간단으로 만들수 있는 영양간식 달달한 바나나치즈말이입니다.,[재료] 또띠아 1장| 슬라이스치즈 2장| 바나나 1개 [양념] 피넛버터 적당량,아무나,10분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/08/26/ceafeec2aa8e314e4946c5b887d0450b_m.jpg
668,1808201,양송이버섯참치덮밥,10673.0,11.0,540.0,끓이기,일상,가공식품류,밥/죽/떡,푸짐하고 느끼하지 않아서 정말 맛있는 양송이 참치덮밥입니다.,[재료] 밥 1공기| 양송이 4개| 참치캔 1/2개| 양파 1/3개| 다진마늘 1큰술| 대파 1/2대| 올리브유 1큰술 [양념장] 간장 3큰술| 물 1/3컵| 고추가루 1작은술| 맛술 1큰술| 후추 약간,초급,15분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/08/22/afce7c824e877447abc13d778c7b25d5_m.jpg
671,1808833,브로콜리두부쉐이크,16025.0,19.0,677.0,기타,영양식,콩/견과류,차/음료/술,고소하니 맛있는 음료. 아침식사 대용으로 넘 좋은 브로콜리 두부쉐이크입니다.,[재료] 두유 180ml| 브로콜리 3~4송이| 두부 100g| 아몬드 5알,아무나,5분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/08/25/c253fa66cd174179bf4468954c0f24fc_m.jpg
1000,2013467,새송이버섯햄주먹밥,42134.0,60.0,2565.0,볶음,도시락,쌀,밥/죽/떡,새송이버섯 햄주먹밥 간단히 만들어 보세요. ,[재료] 밥 1/2공기| 통조림햄 1통| 새송이버섯 2개| 감자 1/4개| 당근 1/4개| 풋고추 1개| 데친 미나리줄기 8개 [양념] 통깨 3/4스푼| 참기름 0.5스푼| 소금 약간,초급,30분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/23/54a3ade9c7436edb9bd08a9f32faf9ff_m.jpg
1014,2301617,캐릭터도시락,37350.0,37.0,1474.0,볶음,도시락,쌀,기타,유치원생들이 귀엽고 앙증맞지요?,[재료] 밥 2그릇| 유부 8장| 참치캔(75g) 1개| 김치잎 2장| 파 1대| 양파 1/2개| 쌈채소 6-7장 [유부양념] 멸치육수 1/2컵| 간장 1큰술| 매실청(또는 설탕) 1큰술,초급,60분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/08/00ec2bf58b0add9e286a6b2a3cd943e4_m.jpg
1130,2373346,치즈롤샌드위치,69162.0,54.0,3389.0,기타,간식,달걀/유제품,빵,색다른 달걀지단치즈롤샌드위치 만들어볼게요,[재료] 달걀 2개| 당근 20g| 식빵 2장| 슬라이스치즈 1장 [양념] 소금 약간| 기름 약간| 마요네즈 2작은술,초급,30분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/08/1f3351f885b5543fee429af577f3ba6f_m.jpg
1308,2528933,닭가슴살부추볶음,34140.0,34.0,1489.0,볶음,다이어트,닭고기,메인반찬,건강한 다이어트를 원한다면 닭가슴살 부추볶음.,[재료] 닭가슴살 600g| 부추 1줌| 숙주 1공기 [양념] 다진 마늘 1큰술| 청주 1큰술| 소금 조금| 후춧가루 조금 [볶음양념장] 간장 3큰술| 생강즙 1작은술| 다진 마늘 1작은술| 설탕 2큰술| 청주 1큰술| 참기름 1/2큰술| 후춧가루 조금,아무나,30분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/08/6ea309958e6755abde9261045ca31316_m.jpg
1415,2659680,채소바나나샐러드,95612.0,103.0,5904.0,기타,일상,과일류,샐러드,칼륨과 식이섬유소가 풍부한 싱싱한 바나나와 아삭아삭한 식감이 좋은 파프리카  양상추  방울토마토  상큼하면서도 달콤한 소스를 만들어서 바나나 샐러드를 만들어 보았는데 맛이 좋아요.,[재료] 바나나 1+1/2개| 파프리카 1/2개| 방울토마토 6개| 양상추 2장 [양념] 플레인 요구르트 100g| 바나나 1/2개,아무나,15분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/08/bb30ce0d0b4f70f8814454560c082768_m.jpg
1749,3746581,오레오쉐이크,13533.0,8.0,635.0,기타,간식,가공식품류,차/음료/술,집에서 간단하고 시원하게 드실수 있는 오레오셰이크 만나보세요.,[재료] 오레오쿠키 3개| 우유 100g| 바닐라아이스크림 1컵| 얼음 4~5개| 생크림 적당량| 장식용쿠키 1개,아무나,5분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/08/da9daa252de4155a2c61b7810650aa1e_m.jpg
1788,3927423,소시지달걀볶음밥,75072.0,176.0,3687.0,볶음,일상,가공식품류,밥/죽/떡,맛있는 달걀밥에 소시지와 채소를 더하여 즐기는 맛있는 한끼! 자취하시는 분들도 쉽게 따라해보세요.,[재료] 소시지 7~8개| 양파(소) 1개| 청고추 2개| 홍파프리카 1/2개| 달걀 1개| 노른자 1개| 밥 220g [양념] 소금 약간| 참기름 약간,아무나,15분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/30/fb950510d429ac03f3cac969d20096d3_m.jpg
1804,3977058,소시지뚝배기밥,35796.0,32.0,1840.0,볶음,일상,가공식품류,밥/죽/떡,그제 혼자 먹는 점심 시간에 만들어먹었던 한그릇 요리~ 소시지를 넣어 매콤하게 볶은 뚝배기밥이예요.,[재료] 수제소시지 1개| 주황파프리카 1/4개| 초록파프리카 1/4개| 양파 1/4개| 쪽파 2~3개| 들기름 1+1/2Ts [양념] 집고추장 1Ts| 부추 1/2줌| 맛간장 1+1/3ts| 맛술 1ts| 팽이버섯 1/2줌| 깨소금 1Ts,초급,30분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/08/88a77fcb90cba1879f31c5543c5d12b9_m.jpg
1805,3979404,달걀감자그라탕,86726.0,61.0,5022.0,굽기,일상,달걀/유제품,양식,감자와 달걀이 들어간 아이들 간식으로 좋은 달걀감자그라탕입니다.,[재료] 감자(소) 1개| 삶은 달걀 2개| 양파 1/2개| 모짜렐라치즈 원하는만큼| 밀가루 약간| 우유1000ml [양념] 소금 약간| 후추 약간,초급,30분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/08/21/a7f24294738319bdc7659b90ffc36f661_m.jpg
1812,3992105,몬테크리스토샌드위치,172171.0,79.0,8452.0,부침,간식,밀가루,빵,사실 몬테크리스토 샌드위치는 햄과 치즈  식빵만 있으면 쉽게 만들 수 있는 메뉴입니다. 집에서는 칼로리를 낮춰 후라이팬에 구우서 만들어 보세요. 마지막에 달달함을 주기 위해 뿌리는 슈거파우더 대신에 연유를 넣어 구우면 더 맛있답니다.,[재료] 샌드위치 식빵 3장| 슬라이스 햄 2장| 슬라이스 치즈 2장| 달걀 1개 [양념] 연유 1큰술| 머스타드 소스 약간| 버터 약간,초급,30분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/20/2a3a6b8d079713ff1a3d12cc5a5a22ae_m.jpg
1816,4005204,마늘토스트,64267.0,65.0,3280.0,굽기,간식,밀가루,빵,마늘 토스트 만드는법 소개할게요.,[재료] 통식빵 1개 [마늘버터] 버터 150g| 다진마늘 2큰술| 파슬리가루 1큰술| 아가베시럽 1+1/2큰술,초급,15분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/08/5119408b20342bb836e503900feaf54a_m.jpg
1844,4045350,계란롤볶음밥,110126.0,82.0,6167.0,볶음,일상,달걀/유제품,밥/죽/떡,돌돌 계란으로 예쁘게 말은 볶음밥 소개해드립니다.,[재료] 햄 1/4개| 양파 1/4개| 당근 1/4개| 호박 1/4개| 밥 1공기| 다진마늘 1스푼| 계란 2개 [양념] 소금 조금,초급,30분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/17/ec43e1832a213cb07b86b18a588c7d48_m.jpg
1854,4075614,참치볶음덮밥,39391.0,41.0,2247.0,볶음,일상,가공식품류,밥/죽/떡,매콤한 고추장으로 맛을 낸 참치볶음덮밥을 만들어 볼게요.,[재료] 참치 13g| 파 1/3대| 채썬 당근 3큰술| 달걀 1개| 김치잎 2~3장| 양파 1/4개| 밥 1인분 [양념] 간장 1+1/2큰술| 청주 1큰술| 설탕 1/3작은술 [밥 양념] 고추장 1/2큰술| 설탕 1/2작은술,초급,30분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/16/594826ad5c21bb51d1e57f43ae094d94_m.jpg
1855,4080008,소시지크림파스타,35997.0,33.0,1386.0,볶음,일상,가공식품류,면/만두,고소함이 그대로 살아있는 소시지크림파스타입니다.,[재료] 파스타면 120g| 양파 1/2개| 소시지 5~7개| 생크림 1컵| 우유 1+1/2컵| 파마산치즈가루 1큰술| 날치알(선택) 1큰술 [양념] 소금 약간| 후추 약간| 파슬리가루 약간| 올리브뉴1큰술| 다진마늘1작은술,초급,30분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/08/af44da07b499b00f91223239adbeeeab_m.jpg
1856,4081690,치즈롤샌드위치,31792.0,15.0,1321.0,기타,간식,밀가루,빵,성장에 좋은 치즈도 듬뿍 넣고 만든 영양간식입니다.,[재료] 식빵 4장| 슬라이스 치즈 2장 [양념] 땅콩버터쨈 적당량| 포도쨈 적당량,초급,15분이내,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/19/e44138b2d4f6ad7f9cfc91d88db97b76_m.jpg
